PRICE,BEDS,PROPERTYSQFT,SUBLOCALITY_ENCODED,TYPE_ENCODED
1250000,8,,1.0,2.0
899999,3,1784.0,2.0,6.0
198000,1,750.0,8.0,0.0
549000,5,496.0,11.0,1.0
1088888,3,1320.0,3.0,1.0
888000,4,2686.0,11.0,1.0
65000,3,230.0,4.0,5.0
1449999,3,,10.0,1.0
14900000,5,,1.0,2.0
1695000,5,2250.0,3.0,10.0
2499000,5,4100.0,10.0,1.0
1970000,4,2508.0,3.0,2.0
1895000,2,,6.0,3.0
689000,3,1248.0,2.0,1.0
649999,3,1440.0,2.0,1.0
669000,3,864.0,2.0,1.0
800000,3,825.0,3.0,1.0
2375000,1,,4.0,3.0
2400000,6,6688.0,3.0,5.0
390000,2,586.0,2.0,1.0
2250000,1,,4.0,0.0
1450000,4,2700.0,2.0,1.0
725000,2,792.0,6.0,0.0
269000,1,,7.0,3.0
695000,2,,4.0,3.0
1300000,3,,11.0,1.0
459000,3,1250.0,3.0,3.0
689999,3,1008.0,2.0,1.0
425000,3,1405.0,10.0,3.0
10000000,5,6800.0,1.0,1.0
1525000,2,,4.0,3.0
1499000,9,3519.0,3.0,4.0
695000,2,,4.0,3.0
1300000,3,,11.0,1.0
269000,1,,7.0,3.0
425000,3,1405.0,10.0,3.0
1499000,9,3519.0,3.0,4.0
519000,3,1480.0,2.0,1.0
358000,2,,8.0,3.0
975000,3,,4.0,3.0
29200000,12,11638.0,1.0,2.0
498000,2,975.0,6.0,3.0
385000,1,900.0,8.0,3.0
999000,6,3144.0,11.0,4.0
399000,1,,8.0,3.0
599000,4,2800.0,2.0,6.0
829888,4,1800.0,4.0,1.0
699998,3,1548.0,2.0,2.0
1088000,5,,8.0,3.0
999000,6,1280.0,11.0,1.0
1188888,15,,10.0,4.0
265000,1,700.0,8.0,3.0
288000,1,845.0,6.0,3.0
999995,3,1750.0,4.0,3.0
1495000,2,1350.0,4.0,3.0
925000,1,1000.0,4.0,3.0
349000,2,,8.0,3.0
2000000,4,3000.0,4.0,0.0
839000,3,1376.0,3.0,0.0
329000,1,820.0,8.0,3.0
899000,6,3683.0,11.0,4.0
615000,3,,3.0,1.0
800000,2,1257.0,4.0,0.0
430000,2,1248.0,9.0,0.0
499000,3,1288.0,2.0,6.0
439500,3,1400.0,8.0,3.0
299000,1,,8.0,3.0
2580000,8,6493.0,2.0,1.0
200000,1,613.0,11.0,0.0
425000,3,,4.0,3.0
69000,1,850.0,7.0,3.0
1995000,3,1546.0,4.0,0.0
230000,1,620.0,4.0,3.0
220000,1,590.0,8.0,3.0
198000,3,,8.0,3.0
1495000,1,,4.0,3.0
475000,1,615.0,4.0,3.0
199900,2,,8.0,3.0
1150000,2,1444.0,2.0,1.0
1575000,3,,3.0,1.0
229000,1,,8.0,3.0
2700000,8,,3.0,5.0
320000,2,936.0,7.0,0.0
295000,2,700.0,6.0,3.0
550000,3,,3.0,1.0
285000,2,1000.0,7.0,0.0
328000,1,800.0,8.0,3.0
1388000,4,,10.0,4.0
3000000,10,,3.0,4.0
2198888,7,,10.0,4.0
650000,6,2310.0,11.0,4.0
1100000,1,890.0,4.0,0.0
2649000,5,4050.0,3.0,2.0
